id,nombre
20,Abarth
32,Aiways
35,Aixam
40,Alfa Romeo
42,Alpina
43,Alpine
57,Aston Martin
60,Audi
95,Barkas
104,Bellier
107,Bentley
130,BMW
125,Borgward
145,Brilliance
141,Buick
147,BYD
150,Cadillac
158,Casalini
157,Caterham
811,Changan
162,Chatenet
160,Chevrolet
170,Chrysler
190,Citroen
191,Corvette
189,Cupra
194,Dacia
195,Daewoo
210,Daihatsu
221,DFSK
230,Dodge
220,DR
235,DS Automobiles
250,e.GO
242,Ebro
247,EVO
277,Ferrari
280,Fiat
282,Fisker
285,Ford
289,Forthing
828,Foton
296,Genesis
311,GWM
313,Haval
340,Honda
315,Hummer
345,Hyundai
354,ICH-X
361,INEOS
357,Infiniti
362,Isuzu
365,Iveco
375,Jaecoo
380,Jaguar
390,Jeep
423,KGM
425,Kia
460,Lada
465,Lamborghini
470,Lancia
730,Land Rover
915,Leapmotor
480,LEVC
487,Lexus
494,Ligier
502,Lotus
503,Lucid
504,Lynk & Co
505,Mahindra
520,MAN
522,Maserati
867,MAXUS
550,Mazda
570,Mercedes-Benz
868,MG
70,MG Rover
575,Microlino
585,Minauto
580,MINI
590,Mitsubishi
894,NIO
225,Nissan
645,Omoda
650,Opel
660,Ora
670,Peugeot
895,Piaggio (Vespa)
695,Polestar
700,Pontiac
710,Porsche
720,Renault
727,Rolls Royce
71,Rover
740,Saab
790,Seat
780,Seres
794,Silence
800,Skoda
560,Smart
846,Sportequipe
810,Ssangyong
826,StreetScooter
820,Subaru
830,Suzuki
908,SWM
850,Tata
853,Tesla
854,Tiger
889,Togg
860,Toyota
902,VinFast
905,Volkswagen
910,Volvo
935,Westfield
899,XPENG
929,Zeekr
